Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
circle,cuda-basic,2,7751.921387,7726.542969,7737.39,7866.193359,111.308067,3994.96
circle,cuda-basic,4,1020.296570,1015.981995,1018.14,1142.711060,1088.960815,1109.56
circle,cuda-basic,8,153.257690,151.971161,152.592,302.562988,226.230881,267.246
circle,cuda-basic,16,50.312031,49.424385,49.9025,200.093826,121.871361,163.725
circle,cuda-basic,32,39.484192,38.752254,39.1309,189.243011,111.308067,148.144
circle,cuda-basic-4,2,1132.529419,1128.782471,1131.13,1160.700073,34.960545,603.874
circle,cuda-basic-4,4,174.687744,173.612640,174.137,215.558533,193.527481,203.845
circle,cuda-basic-4,8,30.676672,29.886784,30.3506,71.872383,49.879169,64.2558
circle,cuda-basic-4,16,15.669984,14.548416,15.0446,58.366367,34.247231,47.9049
circle,cuda-basic-4,32,16.055840,15.291584,15.8551,57.198814,34.960545,52.5017
circle,cuda-opt,2,1136.578735,1133.086670,1134.6,1169.759277,35.828384,601.877
circle,cuda-opt,4,173.871490,172.702087,173.174,214.633286,192.773529,202.122
circle,cuda-opt,8,29.314337,28.536192,28.7224,70.275681,48.623550,52.4
circle,cuda-opt,16,14.708544,13.933792,14.2101,55.705982,33.602497,40.6372
circle,cuda-opt,32,16.398272,15.636384,15.9477,57.261791,35.828384,44.3907
